dsd: 609 train / 12 val
step 67000 l1 0.2817 val 0.3489 0.09s/it
step 67200 l1 0.2832 val 0.3171 0.09s/it
step 67400 l1 0.2949 val 0.3403 0.09s/it
step 67600 l1 0.2802 val 0.3249 0.09s/it
step 67800 l1 0.2848 val 0.3240 0.09s/it
step 68000 l1 0.2840 val 0.2959 0.09s/it
step 68200 l1 0.2888 val 0.3229 0.09s/it
step 68400 l1 0.2816 val 0.3464 0.09s/it
step 68600 l1 0.2883 val 0.3200 0.09s/it
step 68800 l1 0.2853 val 0.3187 0.09s/it
step 69000 l1 0.2823 val 0.3219 0.09s/it
step 69200 l1 0.2899 val 0.3188 0.09s/it
step 69400 l1 0.2830 val 0.3994 0.09s/it
step 69600 l1 0.2837 val 0.3832 0.09s/it
step 69800 l1 0.2811 val 0.4016 0.09s/it
step 70000 l1 0.2891 val 0.2896 0.09s/it
step 70200 l1 0.2862 val 0.3183 0.09s/it
step 70400 l1 0.2850 val 0.3774 0.09s/it
step 70600 l1 0.2939 val 0.3172 0.09s/it
step 70800 l1 0.2904 val 0.3493 0.09s/it
step 71000 l1 0.2982 val 0.3167 0.09s/it
step 71200 l1 0.2837 val 0.2926 0.09s/it
step 71400 l1 0.2781 val 0.3210 0.09s/it
step 71600 l1 0.2864 val 0.2889 0.09s/it
step 71800 l1 0.2771 val 0.3199 0.09s/it
step 72000 l1 0.2821 val 0.3747 0.09s/it
step 72200 l1 0.2868 val 0.3201 0.09s/it
step 72400 l1 0.2837 val 0.3235 0.09s/it
step 72600 l1 0.2867 val 0.2885 0.09s/it
step 72800 l1 0.2822 val 0.2973 0.09s/it
step 73000 l1 0.2864 val 0.3217 0.09s/it
step 73200 l1 0.2790 val 0.3192 0.09s/it
step 73400 l1 0.2905 val 0.3115 0.09s/it
step 73600 l1 0.2875 val 0.2908 0.09s/it
step 73800 l1 0.2864 val 0.2896 0.09s/it
step 74000 l1 0.2871 val 0.3186 0.09s/it
step 74200 l1 0.2779 val 0.2966 0.09s/it
step 74400 l1 0.2937 val 0.3206 0.09s/it
step 74600 l1 0.2862 val 0.3490 0.09s/it
step 74800 l1 0.2810 val 0.3467 0.09s/it
step 75000 l1 0.2877 val 0.3227 0.09s/it
step 75200 l1 0.2867 val 0.2880 0.09s/it
step 75400 l1 0.2828 val 0.3249 0.09s/it
step 75600 l1 0.2854 val 0.2992 0.09s/it
