ds2: 1750 train / 35 val (0 short items)
step 44400 loss 4.164 ema 4.099 val 4.267 0.06s/it
step 44600 loss 4.095 ema 4.111 val 4.194 0.06s/it
step 44800 loss 4.225 ema 4.106 val 4.232 0.06s/it
step 45000 loss 4.091 ema 4.102 val 4.267 0.06s/it
step 45200 loss 4.103 ema 4.092 val 4.274 0.06s/it
step 45400 loss 4.036 ema 4.100 val 4.278 0.06s/it
step 45600 loss 4.272 ema 4.109 val 4.314 0.06s/it
step 45800 loss 4.100 ema 4.111 val 4.323 0.06s/it
step 46000 loss 4.086 ema 4.098 val 4.355 0.06s/it
step 46200 loss 4.071 ema 4.100 val 4.277 0.06s/it
step 46400 loss 4.112 ema 4.096 val 4.323 0.06s/it
step 46600 loss 4.222 ema 4.103 val 4.262 0.06s/it
step 46800 loss 4.039 ema 4.094 val 4.471 0.06s/it
step 47000 loss 4.018 ema 4.100 val 4.336 0.06s/it
step 47200 loss 4.147 ema 4.094 val 4.371 0.06s/it
step 47400 loss 4.212 ema 4.115 val 4.383 0.06s/it
step 47600 loss 4.087 ema 4.115 val 4.379 0.06s/it
step 47800 loss 4.177 ema 4.104 val 4.259 0.06s/it
step 48000 loss 4.120 ema 4.087 val 4.302 0.06s/it
step 48200 loss 4.188 ema 4.096 val 4.237 0.06s/it
step 48400 loss 4.115 ema 4.098 val 4.372 0.06s/it
step 48600 loss 4.188 ema 4.092 val 4.249 0.06s/it
step 48800 loss 4.152 ema 4.091 val 4.419 0.06s/it
step 49000 loss 3.943 ema 4.102 val 4.227 0.06s/it
step 49200 loss 4.088 ema 4.090 val 4.343 0.06s/it
step 49400 loss 4.115 ema 4.101 val 4.402 0.06s/it
step 49600 loss 4.173 ema 4.094 val 4.369 0.06s/it
step 49800 loss 4.123 ema 4.102 val 4.248 0.06s/it
step 50000 loss 4.048 ema 4.094 val 4.301 0.06s/it
step 50200 loss 4.158 ema 4.095 val 4.300 0.06s/it
step 50400 loss 4.096 ema 4.087 val 4.398 0.06s/it
step 50600 loss 4.132 ema 4.092 val 4.288 0.06s/it
step 50800 loss 4.069 ema 4.085 val 4.362 0.06s/it
step 51000 loss 4.085 ema 4.078 val 4.245 0.06s/it
step 51200 loss 4.238 ema 4.096 val 4.307 0.06s/it
step 51400 loss 4.106 ema 4.098 val 4.188 0.06s/it
step 51600 loss 4.101 ema 4.085 val 4.250 0.06s/it
step 51800 loss 4.011 ema 4.089 val 4.344 0.06s/it
step 52000 loss 4.224 ema 4.071 val 4.232 0.06s/it
step 52200 loss 4.058 ema 4.079 val 4.319 0.06s/it
step 52400 loss 4.039 ema 4.084 val 4.281 0.06s/it
step 52600 loss 4.106 ema 4.089 val 4.275 0.06s/it
step 52800 loss 4.015 ema 4.081 val 4.340 0.06s/it
step 53000 loss 4.141 ema 4.088 val 4.390 0.06s/it
step 53200 loss 4.218 ema 4.103 val 4.351 0.06s/it
step 53400 loss 4.225 ema 4.094 val 4.386 0.06s/it
step 53600 loss 4.073 ema 4.088 val 4.232 0.06s/it
step 53800 loss 4.127 ema 4.081 val 4.234 0.06s/it
step 54000 loss 4.143 ema 4.079 val 4.342 0.06s/it
step 54200 loss 4.018 ema 4.076 val 4.261 0.06s/it
step 54400 loss 4.088 ema 4.086 val 4.336 0.06s/it
step 54600 loss 4.103 ema 4.092 val 4.352 0.06s/it
step 54800 loss 4.073 ema 4.077 val 4.229 0.06s/it
step 55000 loss 4.037 ema 4.084 val 4.127 0.06s/it
step 55200 loss 4.165 ema 4.071 val 4.296 0.06s/it
step 55400 loss 4.033 ema 4.070 val 4.331 0.06s/it
step 55600 loss 4.020 ema 4.088 val 4.282 0.06s/it
step 55800 loss 4.110 ema 4.084 val 4.366 0.06s/it
step 56000 loss 4.121 ema 4.075 val 4.268 0.06s/it
step 56200 loss 4.015 ema 4.075 val 4.237 0.06s/it
step 56400 loss 4.119 ema 4.083 val 4.379 0.06s/it
step 56600 loss 4.132 ema 4.073 val 4.281 0.06s/it
step 56800 loss 4.210 ema 4.074 val 4.351 0.06s/it
step 57000 loss 4.074 ema 4.080 val 4.270 0.06s/it
step 57200 loss 4.099 ema 4.072 val 4.267 0.06s/it
step 57400 loss 4.073 ema 4.079 val 4.335 0.06s/it
step 57600 loss 4.094 ema 4.067 val 4.246 0.06s/it
step 57800 loss 4.052 ema 4.065 val 4.306 0.06s/it
step 58000 loss 4.082 ema 4.082 val 4.310 0.06s/it
step 58200 loss 4.038 ema 4.081 val 4.300 0.06s/it
step 58400 loss 4.050 ema 4.075 val 4.396 0.06s/it
step 58600 loss 4.104 ema 4.078 val 4.314 0.06s/it
step 58800 loss 3.971 ema 4.059 val 4.332 0.06s/it
step 59000 loss 4.001 ema 4.056 val 4.137 0.06s/it
step 59200 loss 4.085 ema 4.077 val 4.434 0.06s/it
step 59400 loss 4.053 ema 4.074 val 4.151 0.06s/it
step 59600 loss 4.218 ema 4.081 val 4.305 0.06s/it
step 59800 loss 4.046 ema 4.068 val 4.300 0.06s/it
step 60000 loss 4.126 ema 4.071 val 4.345 0.06s/it
step 60200 loss 4.049 ema 4.065 val 4.227 0.06s/it
step 60400 loss 4.053 ema 4.056 val 4.329 0.06s/it
step 60600 loss 4.109 ema 4.072 val 4.386 0.06s/it
step 60800 loss 4.033 ema 4.063 val 4.263 0.06s/it
step 61000 loss 4.014 ema 4.053 val 4.254 0.06s/it
step 61200 loss 4.072 ema 4.070 val 4.210 0.06s/it
step 61400 loss 4.042 ema 4.058 val 4.313 0.06s/it
step 61600 loss 4.096 ema 4.069 val 4.302 0.06s/it
step 61800 loss 4.127 ema 4.068 val 4.356 0.06s/it
step 62000 loss 4.193 ema 4.057 val 4.252 0.06s/it
step 62200 loss 4.147 ema 4.061 val 4.298 0.06s/it
step 62400 loss 4.058 ema 4.057 val 4.250 0.06s/it
step 62600 loss 4.048 ema 4.066 val 4.238 0.06s/it
step 62800 loss 4.058 ema 4.047 val 4.334 0.06s/it
step 63000 loss 4.099 ema 4.066 val 4.306 0.06s/it
step 63200 loss 4.122 ema 4.060 val 4.260 0.06s/it
step 63400 loss 4.044 ema 4.064 val 4.269 0.06s/it
step 63600 loss 4.053 ema 4.071 val 4.359 0.06s/it
step 63800 loss 4.170 ema 4.057 val 4.188 0.06s/it
step 64000 loss 4.081 ema 4.071 val 4.201 0.06s/it
step 64200 loss 4.049 ema 4.062 val 4.294 0.06s/it
step 64400 loss 4.109 ema 4.060 val 4.366 0.06s/it
step 64600 loss 4.098 ema 4.065 val 4.283 0.06s/it
step 64800 loss 4.087 ema 4.060 val 4.223 0.06s/it
step 65000 loss 3.992 ema 4.054 val 4.262 0.06s/it
step 65200 loss 4.004 ema 4.055 val 4.252 0.06s/it
step 65400 loss 4.140 ema 4.055 val 4.318 0.06s/it
step 65600 loss 3.953 ema 4.046 val 4.294 0.06s/it
step 65800 loss 4.167 ema 4.056 val 4.322 0.06s/it
step 66000 loss 4.116 ema 4.060 val 4.294 0.06s/it
step 66200 loss 3.983 ema 4.056 val 4.186 0.06s/it
step 66400 loss 4.082 ema 4.054 val 4.240 0.06s/it
step 66600 loss 4.128 ema 4.054 val 4.304 0.06s/it
step 66800 loss 4.094 ema 4.065 val 4.230 0.06s/it
step 67000 loss 3.980 ema 4.060 val 4.347 0.06s/it
step 67200 loss 4.034 ema 4.064 val 4.435 0.06s/it
step 67400 loss 3.986 ema 4.044 val 4.267 0.06s/it
step 67600 loss 4.216 ema 4.061 val 4.286 0.06s/it
step 67800 loss 4.069 ema 4.063 val 4.239 0.06s/it
step 68000 loss 3.990 ema 4.057 val 4.184 0.06s/it
step 68200 loss 4.074 ema 4.063 val 4.204 0.06s/it
step 68400 loss 4.074 ema 4.058 val 4.388 0.06s/it
step 68600 loss 3.999 ema 4.056 val 4.224 0.06s/it
step 68800 loss 4.053 ema 4.052 val 4.238 0.06s/it
step 69000 loss 4.072 ema 4.049 val 4.255 0.06s/it
step 69200 loss 4.054 ema 4.053 val 4.285 0.06s/it
step 69400 loss 4.077 ema 4.052 val 4.333 0.06s/it
step 69600 loss 3.991 ema 4.061 val 4.151 0.06s/it
step 69800 loss 4.097 ema 4.064 val 4.277 0.06s/it
step 70000 loss 4.036 ema 4.049 val 4.215 0.06s/it
step 70200 loss 4.115 ema 4.052 val 4.203 0.06s/it
step 70400 loss 4.109 ema 4.051 val 4.209 0.06s/it
step 70600 loss 4.111 ema 4.057 val 4.380 0.06s/it
step 70800 loss 4.137 ema 4.045 val 4.320 0.06s/it
step 71000 loss 4.050 ema 4.039 val 4.245 0.06s/it
step 71200 loss 3.956 ema 4.057 val 4.278 0.06s/it
step 71400 loss 4.035 ema 4.052 val 4.235 0.06s/it
step 71600 loss 4.054 ema 4.044 val 4.289 0.06s/it
step 71800 loss 4.037 ema 4.046 val 4.357 0.06s/it
step 72000 loss 4.052 ema 4.049 val 4.284 0.06s/it
step 72200 loss 4.045 ema 4.042 val 4.439 0.06s/it
step 72400 loss 3.985 ema 4.043 val 4.244 0.06s/it
step 72600 loss 4.069 ema 4.047 val 4.237 0.06s/it
step 72800 loss 4.120 ema 4.065 val 4.222 0.06s/it
step 73000 loss 4.051 ema 4.049 val 4.411 0.06s/it
step 73200 loss 3.963 ema 4.052 val 4.350 0.06s/it
step 73400 loss 4.061 ema 4.042 val 4.272 0.06s/it
step 73600 loss 4.095 ema 4.041 val 4.255 0.06s/it
step 73800 loss 4.099 ema 4.046 val 4.329 0.06s/it
step 74000 loss 4.095 ema 4.040 val 4.149 0.06s/it
step 74200 loss 3.938 ema 4.031 val 4.422 0.06s/it
step 74400 loss 3.998 ema 4.041 val 4.294 0.06s/it
step 74600 loss 4.102 ema 4.047 val 4.310 0.06s/it
step 74800 loss 4.101 ema 4.044 val 4.314 0.06s/it
step 75000 loss 4.052 ema 4.048 val 4.278 0.06s/it
step 75200 loss 4.099 ema 4.044 val 4.288 0.06s/it
step 75400 loss 4.090 ema 4.044 val 4.241 0.06s/it
step 75600 loss 4.070 ema 4.043 val 4.305 0.06s/it
step 75800 loss 4.164 ema 4.053 val 4.356 0.06s/it
step 76000 loss 4.023 ema 4.046 val 4.256 0.06s/it
step 76200 loss 3.979 ema 4.036 val 4.216 0.06s/it
step 76400 loss 4.066 ema 4.052 val 4.368 0.06s/it
step 76600 loss 4.019 ema 4.034 val 4.229 0.06s/it
step 76800 loss 4.028 ema 4.034 val 4.285 0.06s/it
step 77000 loss 4.085 ema 4.049 val 4.226 0.06s/it
step 77200 loss 3.977 ema 4.035 val 4.279 0.06s/it
step 77400 loss 4.142 ema 4.036 val 4.349 0.06s/it
step 77600 loss 3.949 ema 4.027 val 4.241 0.06s/it
step 77800 loss 4.032 ema 4.041 val 4.323 0.06s/it
step 78000 loss 4.177 ema 4.036 val 4.249 0.06s/it
step 78200 loss 4.038 ema 4.038 val 4.280 0.06s/it
step 78400 loss 3.961 ema 4.027 val 4.250 0.06s/it
step 78600 loss 3.976 ema 4.040 val 4.206 0.06s/it
step 78800 loss 4.049 ema 4.043 val 4.309 0.06s/it
step 79000 loss 4.004 ema 4.039 val 4.347 0.06s/it
step 79200 loss 4.114 ema 4.033 val 4.283 0.06s/it
step 79400 loss 3.897 ema 4.036 val 4.095 0.06s/it
