dsx: 609 train / 12 val
step 20700 mel 0.3742 ema 0.3682 1.23s/it
step 20800 mel 0.3740 ema 0.3685 1.23s/it
step 20900 mel 0.3694 ema 0.3684 1.23s/it
step 21000 mel 0.3640 ema 0.3669 1.23s/it
step 21100 mel 0.3564 ema 0.3676 1.23s/it
step 21200 mel 0.3823 ema 0.3681 1.23s/it
step 21300 mel 0.3704 ema 0.3687 1.23s/it
step 21400 mel 0.3685 ema 0.3684 1.23s/it
step 21500 mel 0.3574 ema 0.3677 1.23s/it
step 21600 mel 0.3635 ema 0.3666 1.23s/it
step 21700 mel 0.3533 ema 0.3656 1.23s/it
step 21800 mel 0.3564 ema 0.3667 1.23s/it
step 21900 mel 0.3591 ema 0.3664 1.23s/it
step 22000 mel 0.3758 ema 0.3688 1.22s/it
step 22100 mel 0.3713 ema 0.3686 1.22s/it
step 22200 mel 0.3747 ema 0.3679 1.22s/it
step 22300 mel 0.3704 ema 0.3677 1.22s/it
step 22400 mel 0.3544 ema 0.3666 1.22s/it
step 22500 mel 0.3562 ema 0.3662 1.22s/it
step 22600 mel 0.3670 ema 0.3669 1.22s/it
step 22700 mel 0.3728 ema 0.3674 1.22s/it
step 22800 mel 0.3618 ema 0.3677 1.22s/it
step 22900 mel 0.3623 ema 0.3665 1.22s/it
step 23000 mel 0.3608 ema 0.3669 1.22s/it
step 23100 mel 0.3699 ema 0.3682 1.22s/it
step 23200 mel 0.3761 ema 0.3662 1.22s/it
step 23300 mel 0.3647 ema 0.3662 1.22s/it
step 23400 mel 0.3591 ema 0.3673 1.22s/it
step 23500 mel 0.3707 ema 0.3665 1.22s/it
step 23600 mel 0.3687 ema 0.3670 1.22s/it
step 23700 mel 0.3845 ema 0.3664 1.22s/it
step 23800 mel 0.3725 ema 0.3672 1.22s/it
step 23900 mel 0.3740 ema 0.3652 1.22s/it
step 24000 mel 0.3631 ema 0.3653 1.22s/it
step 24100 mel 0.3759 ema 0.3670 1.22s/it
step 24200 mel 0.3498 ema 0.3660 1.22s/it
step 24300 mel 0.3630 ema 0.3655 1.22s/it
step 24400 mel 0.3679 ema 0.3685 1.22s/it
step 24500 mel 0.3701 ema 0.3677 1.22s/it
step 24600 mel 0.3649 ema 0.3665 1.22s/it
step 24700 mel 0.3741 ema 0.3666 1.22s/it
step 24800 mel 0.3444 ema 0.3654 1.22s/it
step 24900 mel 0.3573 ema 0.3676 1.22s/it
step 25000 mel 0.3671 ema 0.3671 1.22s/it
step 25100 mel 0.3630 ema 0.3663 1.22s/it
step 25200 mel 0.3814 ema 0.3647 1.22s/it
step 25300 mel 0.3580 ema 0.3651 1.22s/it
step 25400 mel 0.3559 ema 0.3659 1.22s/it
step 25500 mel 0.3741 ema 0.3669 1.22s/it
step 25600 mel 0.3613 ema 0.3645 1.22s/it
step 25700 mel 0.3560 ema 0.3650 1.22s/it
step 25800 mel 0.3764 ema 0.3697 1.22s/it
step 25900 mel 0.3659 ema 0.3658 1.22s/it
step 26000 mel 0.3555 ema 0.3666 1.22s/it
step 26100 mel 0.3539 ema 0.3660 1.22s/it
step 26200 mel 0.3782 ema 0.3676 1.22s/it
step 26300 mel 0.3794 ema 0.3673 1.22s/it
step 26400 mel 0.3665 ema 0.3667 1.22s/it
step 26500 mel 0.3751 ema 0.3673 1.22s/it
step 26600 mel 0.3956 ema 0.3672 1.22s/it
step 26700 mel 0.3674 ema 0.3669 1.22s/it
step 26800 mel 0.3610 ema 0.3650 1.22s/it
step 26900 mel 0.3625 ema 0.3665 1.22s/it
